Date,Open,High,Low,Close,cryptocurrency
09/30/2024,4.8058,4.8374,4.5007,4.5364,DOT
09/29/2024,4.8044,4.855,4.6847,4.8063,DOT
09/28/2024,4.8896,4.9272,4.7594,4.8044,DOT
09/27/2024,4.7588,4.96,4.7588,4.8896,DOT
09/26/2024,4.7202,4.8748,4.5664,4.7602,DOT
09/25/2024,4.5904,4.7681,4.5759,4.7192,DOT
09/24/2024,4.4153,4.6063,4.3963,4.5893,DOT
09/23/2024,4.3367,4.446,4.2391,4.4146,DOT
09/22/2024,4.418,4.4804,4.2793,4.3357,DOT
09/21/2024,4.2921,4.4507,4.2887,4.418,DOT
09/20/2024,4.293,4.3969,4.193,4.2921,DOT
09/19/2024,4.0859,4.3466,4.0859,4.2958,DOT
09/18/2024,4.1506,4.1731,3.977,4.0856,DOT
09/17/2024,4.1835,4.2865,4.1333,4.1506,DOT
09/16/2024,4.4557,4.4563,4.1842,4.1848,DOT
09/15/2024,4.4185,4.5525,4.4142,4.4582,DOT
09/14/2024,4.4263,4.4691,4.3537,4.4185,DOT
09/13/2024,4.2728,4.463,4.2652,4.4304,DOT
9/12/2024,4.1722,4.2901,4.1606,4.286,DOT
9/11/2024,4.2438,4.2649,4.0628,4.1722,DOT
9/10/2024,4.293,4.3376,4.2012,4.2437,DOT
9/9/2024,4.1367,4.3211,4.1117,4.2924,DOT
9/8/2024,4.0897,4.1979,4.0513,4.1367,DOT
9/7/2024,3.838,4.1314,3.8235,4.0897,DOT
9/6/2024,4.0339,4.0991,3.8396,3.845,DOT
9/5/2024,4.1479,4.1813,3.977,4.0339,DOT
9/4/2024,4.1325,4.1919,3.8831,4.1312,DOT
9/3/2024,4.2136,4.2799,4.0979,4.133,DOT
9/2/2024,4.1899,4.2203,4.0428,4.2132,DOT
9/1/2024,4.2369,4.2678,4.1026,4.1893,DOT
08/31/2024,4.2403,4.3142,4.2224,4.2369,DOT
08/30/2024,4.2289,4.3303,4.1056,4.2403,DOT
08/29/2024,4.2986,4.404,4.1958,4.225,DOT
08/28/2024,4.5134,4.5231,4.1687,4.2986,DOT
08/27/2024,4.5738,4.6555,4.5,4.5134,DOT
08/26/2024,4.8334,4.8921,4.537,4.5756,DOT
08/25/2024,5.0353,5.0353,4.75,4.8325,DOT
08/24/2024,4.8758,5.0971,4.8527,5.0353,DOT
