Date,Open,High,Low,Close,cryptocurrency
09/30/2024,"2,661.46","2,670.67","2,575.68","2,613.14",ETH
09/29/2024,"2,675.88","2,683.28","2,635.50","2,661.35",ETH
09/28/2024,"2,695.28","2,707.33","2,651.44","2,676.34",ETH
09/27/2024,"2,630.89","2,727.22","2,617.20","2,695.28",ETH
09/26/2024,"2,579.16","2,663.55","2,554.51","2,632.77",ETH
09/25/2024,"2,650.82","2,672.53","2,569.13","2,579.12",ETH
09/24/2024,"2,662.70","2,665.28","2,592.47","2,650.82",ETH
09/23/2024,"2,573.01","2,701.15","2,529.16","2,662.04",ETH
09/22/2024,"2,566.66","2,632.11","2,554.45","2,573.01",ETH
09/21/2024,"2,540.68","2,587.10","2,530.01","2,566.32",ETH
09/20/2024,"2,466.69","2,570.29","2,439.07","2,540.73",ETH
09/19/2024,"2,326.23","2,491.23","2,326.05","2,467.37",ETH
09/18/2024,"2,344.93","2,363.96","2,277.47","2,326.23",ETH
09/17/2024,"2,273.40","2,390.20","2,263.00","2,344.93",ETH
09/16/2024,"2,364.31","2,364.31","2,253.85","2,273.06",ETH
09/15/2024,"2,416.05","2,429.52","2,356.84","2,364.35",ETH
09/14/2024,"2,423.96","2,465.00","2,391.88","2,416.04",ETH
09/13/2024,"2,350.82","2,429.49","2,338.18","2,424.41",ETH
9/12/2024,"2,348.45","2,389.98","2,315.99","2,350.88",ETH
9/11/2024,"2,378.32","2,397.99","2,278.81","2,348.45",ETH
9/10/2024,"2,340.70","2,393.00","2,321.78","2,378.65",ETH
9/9/2024,"2,275.12","2,351.77","2,274.58","2,340.54",ETH
9/8/2024,"2,270.00","2,307.47","2,244.07","2,275.13",ETH
9/7/2024,"2,167.31","2,309.56","2,151.52","2,272.65",ETH
9/6/2024,"2,368.05","2,406.02","2,168.03","2,169.66",ETH
9/5/2024,"2,456.47","2,467.97","2,349.41","2,368.05",ETH
9/4/2024,"2,461.73","2,487.72","2,311.54","2,455.69",ETH
9/3/2024,"2,555.52","2,558.88","2,436.00","2,461.27",ETH
9/2/2024,"2,502.01","2,560.10","2,403.43","2,553.79",ETH
9/1/2024,"2,506.64","2,525.91","2,439.02","2,502.89",ETH
08/31/2024,"2,518.81","2,533.09","2,493.37","2,506.64",ETH
08/30/2024,"2,539.94","2,539.94","2,436.21","2,517.73",ETH
08/29/2024,"2,538.45","2,596.82","2,512.74","2,540.09",ETH
08/28/2024,"2,580.28","2,584.84","2,407.71","2,540.23",ETH
08/27/2024,"2,688.56","2,699.18","2,565.49","2,583.00",ETH
08/26/2024,"2,772.21","2,792.86","2,673.82","2,690.01",ETH
08/25/2024,"2,792.72","2,793.35","2,736.23","2,772.22",ETH
08/24/2024,"2,755.43","2,820.53","2,742.86","2,794.70",ETH
08/23/2024,"2,624.38","2,762.89","2,616.35","2,754.15",ETH
08/22/2024,"2,631.20","2,645.27","2,587.74","2,622.48",ETH
08/21/2024,"2,589.29","2,662.43","2,541.07","2,631.90",ETH
08/20/2024,"2,617.47","2,695.07","2,557.06","2,589.33",ETH
08/19/2024,"2,666.85","2,666.85","2,568.01","2,615.95",ETH
08/18/2024,"2,615.00","2,682.36","2,596.75","2,666.85",ETH
08/17/2024,"2,610.67","2,626.09","2,588.26","2,615.00",ETH
08/16/2024,"2,546.56","2,628.07","2,535.40","2,612.28",ETH
08/15/2024,"2,676.64","2,678.89","2,519.20","2,530.33",ETH
08/14/2024,"2,699.95","2,776.58","2,638.24","2,676.68",ETH
08/13/2024,"2,681.50","2,746.62","2,613.58","2,699.95",ETH
8/12/2024,"2,555.12","2,721.58","2,515.09","2,681.04",ETH
8/11/2024,"2,605.98","2,715.01","2,544.36","2,556.24",ETH
8/10/2024,"2,594.86","2,642.64","2,566.95","2,605.65",ETH
8/9/2024,"2,570.67","2,720.98","2,556.97","2,595.22",ETH
8/8/2024,"2,349.15","2,604.99","2,317.07","2,571.27",ETH
8/7/2024,"2,488.72","2,550.16","2,311.07","2,347.89",ETH
8/6/2024,"2,434.46","2,550.33","2,413.28","2,488.72",ETH
8/5/2024,"2,751.52","2,751.53","2,133.03","2,435.96",ETH
