Date,Open,High,Low,Close,cryptocurrency
09/30/2024,160.26,161.65,153.71,156.65,SOL
09/29/2024,156.56,160.69,155.11,160.14,SOL
09/28/2024,158.01,159.32,155.15,156.56,SOL
09/27/2024,154.6,161.14,154.01,158,SOL
09/26/2024,150.34,157.99,146.65,154.61,SOL
09/25/2024,148.46,153.91,148.16,150.32,SOL
09/24/2024,143.43,149.2,142.58,148.41,SOL
09/23/2024,144.48,148.99,141.26,143.43,SOL
09/22/2024,147.64,149.92,142.57,144.37,SOL
09/21/2024,146.67,149.37,144.73,147.64,SOL
09/20/2024,143.67,152.15,141.16,146.75,SOL
09/19/2024,130.83,143.9,130.64,143.59,SOL
09/18/2024,132.01,132.96,127.18,130.82,SOL
09/17/2024,130.12,135.52,130,132.03,SOL
09/16/2024,133.21,133.21,129,130.09,SOL
09/15/2024,137.07,137.92,132.85,133.31,SOL
09/14/2024,138.38,139.84,135.77,137.01,SOL
09/13/2024,135.84,138.77,131.83,138.45,SOL
9/12/2024,132.63,136.5,132.12,135.9,SOL
9/11/2024,135.8,136,128.28,132.63,SOL
9/10/2024,134.65,137.86,132.59,135.82,SOL
9/9/2024,128.87,135.14,127.13,134.48,SOL
9/8/2024,127.34,130.94,126.54,128.82,SOL
9/7/2024,121.14,129.36,120.79,127.34,SOL
9/6/2024,128.38,134.16,121.02,121.24,SOL
9/5/2024,133.9,135.14,127.98,128.38,SOL
9/4/2024,130.5,134.83,123.06,133.9,SOL
9/3/2024,134.66,137.15,129.4,130.5,SOL
9/2/2024,134.9,134.9,127.04,134.57,SOL
9/1/2024,135.31,136.27,130.21,134.9,SOL
08/31/2024,136.39,139.05,134.58,135.31,SOL
08/30/2024,140.29,141.07,132.47,136.29,SOL
08/29/2024,144.13,147.28,138.68,140.29,SOL
08/28/2024,154.01,154.2,140.53,144.22,SOL
08/27/2024,158.82,159.59,153.05,154.01,SOL
08/26/2024,158.97,161.95,155.71,158.83,SOL
08/25/2024,160.41,160.78,155.45,158.91,SOL
08/24/2024,150.92,162.29,150.92,160.46,SOL
08/23/2024,143.35,151.59,142.94,150.87,SOL
08/22/2024,143.13,144.76,140.8,143.29,SOL
08/21/2024,143.51,144.32,139.1,143.03,SOL
08/20/2024,143.42,148.86,141.12,143.54,SOL
08/19/2024,146.68,146.69,140.47,143.41,SOL
08/18/2024,141.12,147.14,140.71,146.81,SOL
08/17/2024,140.76,141.68,137.78,141.11,SOL
08/16/2024,140.24,144.8,136.26,140.62,SOL
08/15/2024,144.28,147.51,137.83,139.43,SOL
08/14/2024,145.99,151.99,143.66,144.24,SOL
08/13/2024,143.44,149.64,141.91,146,SOL
8/12/2024,143.9,150.76,141.3,143.47,SOL
8/11/2024,154.59,158.1,143.95,143.95,SOL
8/10/2024,153.35,158.72,151.63,154.59,SOL
8/9/2024,155.95,163.52,151,153.29,SOL
8/8/2024,144.69,162.57,141.48,155.96,SOL
8/7/2024,147.12,155.05,142.41,144.71,SOL
8/6/2024,131.56,148.42,129.5,147.33,SOL
8/5/2024,142.62,142.67,110.28,131.85,SOL
8/4/2024,140.75,145.9,131.59,142.53,SOL
8/3/2024,153.12,154.83,140.02,140.69,SOL
8/2/2024,164.68,169.24,149.89,153.1,SOL
8/1/2024,173.47,175.19,157.9,164.59,SOL
07/31/2024,179.5,184.26,173.4,173.4,SOL
07/30/2024,185.88,185.88,175.51,179.68,SOL
07/29/2024,185.29,193.86,182.82,185.88,SOL
07/28/2024,182.57,186.74,181.29,185.3,SOL
07/27/2024,181.41,188.25,178.22,182.88,SOL
07/26/2024,170.53,183.17,170.17,181.41,SOL
07/25/2024,180.03,180.17,165.55,170.47,SOL
07/24/2024,173.9,182.5,171.01,180.02,SOL
07/23/2024,182.55,182.55,170.72,174.02,SOL
07/22/2024,182.32,185.05,176.99,182.54,SOL
07/21/2024,173.75,184.45,170.8,182.3,SOL
07/20/2024,169.33,174.55,167.49,173.75,SOL
07/19/2024,157.94,171.34,157.94,169.33,SOL
07/18/2024,156.14,161.57,155.07,157.94,SOL
07/17/2024,159.73,163.72,154.82,156.18,SOL
07/16/2024,156.82,162.54,152.82,159.78,SOL
07/15/2024,145.72,157.16,145.54,156.74,SOL
07/14/2024,139.77,146.99,139.24,145.78,SOL
07/13/2024,138.09,140.89,137.65,139.8,SOL
7/12/2024,137.03,140.62,134.08,138.2,SOL
7/11/2024,140.78,145.52,135.77,137.03,SOL
7/10/2024,142.65,146.03,138.69,140.77,SOL
7/9/2024,138.56,144.1,136.49,142.65,SOL
