Date,Open,High,Low,Close
09/30/2024,"3,585.29","3,594.20","3,566.00","3,585.29"
09/27/2024,"3,575.56","3,573.36","3,573.36","3,573.36"
09/26/2024,"3,575.91","3,609.06","3,570.66","3,582.23"
09/25/2024,"3,621.06","3,583.27","3,583.27","3,583.27"
09/24/2024,"3,641.22","3,622.74","3,622.74","3,622.74"
09/23/2024,"3,638.54","3,648.19","3,620.20","3,638.54"
09/20/2024,"3,633.97","3,636.21","3,613.76","3,624.76"
09/19/2024,"3,590.30","3,633.18","3,633.18","3,633.18"
09/18/2024,"3,592.42","3,596.91","3,573.22","3,592.42"
09/17/2024,"3,576.12","3,597.95","3,572.16","3,593.42"
09/16/2024,"3,562.55","3,570.43","3,570.43","3,570.43"
09/13/2024,"3,562.65","3,572.84","3,556.30","3,562.65"
09/12/2024,"3,553.60","3,556.53","3,556.53","3,556.53"
09/11/2024,"3,531.17","3,536.12","3,517.56","3,531.17"
09/10/2024,"3,508.38","3,512.67","3,512.67","3,512.67"
09/09/2024,"3,496.53","3,501.04","3,441.84","3,496.53"
09/06/2024,"3,454.08","3,454.47","3,454.47","3,454.47"
09/05/2024,"3,451.65","3,458.66","3,458.66","3,458.66"
09/04/2024,"3,419.06","3,441.38","3,441.38","3,441.38"
09/03/2024,"3,466.13","3,480.34","3,480.34","3,480.34"
09/02/2024,"3,442.71","3,463.08","3,463.08","3,463.08"
08/30/2024,"3,409.98","3,442.93","3,442.93","3,442.93"
08/29/2024,"3,388.44","3,404.47","3,404.47","3,404.47"
08/28/2024,"3,398.25","3,400.45","3,373.19","3,391.03"
08/27/2024,"3,394.43","3,398.47","3,398.47","3,398.47"
08/26/2024,"3,393.64","3,396.03","3,396.03","3,396.03"
08/23/2024,"3,372.30","3,387.99","3,387.99","3,387.99"
08/22/2024,"3,373.58","3,391.25","3,353.96","3,373.58"
08/21/2024,"3,369.28","3,373.76","3,373.76","3,373.76"
08/20/2024,"3,370.31","3,380.64","3,352.34","3,370.31"
08/19/2024,"3,355.56","3,376.89","3,340.37","3,355.56"
08/16/2024,"3,340.89","3,352.89","3,352.89","3,352.89"
08/15/2024,"3,315.73","3,318.91","3,287.34","3,315.73"
08/14/2024,"3,286.28","3,287.63","3,258.75","3,286.28"
08/13/2024,"3,242.03","3,270.45","3,242.03","3,258.57"
08/12/2024,"3,258.75","3,266.98","3,229.20","3,235.38"
08/08/2024,"3,261.83","3,268.24","3,235.22","3,261.83"
08/07/2024,"3,249.72","3,267.64","3,219.89","3,249.72"
08/06/2024,"3,198.44","3,274.12","3,198.44","3,198.44"
08/05/2024,"3,243.67","3,315.95","3,211.78","3,243.67"
08/02/2024,"3,392.57","3,381.45","3,381.45","3,381.45"
08/01/2024,"3,453.24","3,454.53","3,419.40","3,419.84"
07/31/2024,"3,455.94","3,463.10","3,442.55","3,455.94"
07/30/2024,"3,442.62","3,441.77","3,441.77","3,441.77"
07/29/2024,"3,437.98","3,444.18","3,444.18","3,444.18"
07/26/2024,"3,432.73","3,434.97","3,416.61","3,426.47"
07/25/2024,"3,448.12","3,430.45","3,430.45","3,430.45"
07/24/2024,"3,458.00","3,460.82","3,460.82","3,460.82"
07/23/2024,"3,461.16","3,461.16","3,448.69","3,461.16"
07/22/2024,"3,445.45","3,448.68","3,433.53","3,437.26"
07/19/2024,"3,455.79","3,457.31","3,437.85","3,447.56"
07/18/2024,"3,475.23","3,471.16","3,471.16","3,471.16"
07/17/2024,"3,486.46","3,495.53","3,482.73","3,489.57"
07/16/2024,"3,487.91","3,497.89","3,469.56","3,487.91"
07/15/2024,"3,505.47","3,499.89","3,499.89","3,499.89"
07/12/2024,"3,497.78","3,504.98","3,480.14","3,497.78"
07/11/2024,"3,475.06","3,485.90","3,466.63","3,475.06"
07/10/2024,"3,459.93","3,459.93","3,433.36","3,459.93"
07/09/2024,"3,412.68","3,431.54","3,410.91","3,426.09"
07/08/2024,"3,404.81","3,404.47","3,404.47","3,404.47"
07/05/2024,"3,436.22","3,438.45","3,407.34","3,410.81"
07/04/2024,"3,430.19","3,442.52","3,428.22","3,439.88"
07/03/2024,"3,389.98","3,420.91","3,387.46","3,415.51"
07/02/2024,"3,340.55","3,369.23","3,338.99","3,367.90"
07/01/2024,"3,334.71","3,341.59","3,325.17","3,338.57"
06/28/2024,"3,338.05","3,346.81","3,330.58","3,332.80"
06/27/2024,"3,315.52","3,348.15","3,315.52","3,343.35"
06/26/2024,"3,325.77","3,331.70","3,317.07","3,331.70"
06/25/2024,"3,314.86","3,329.24","3,309.68","3,326.28"
06/24/2024,"3,302.19","3,314.14","3,295.80","3,314.14"
06/21/2024,"3,307.90","3,314.07","3,302.03","3,306.02"
06/20/2024,"3,299.07","3,304.97","3,288.94","3,300.00"
06/19/2024,"3,317.65","3,326.26","3,304.00","3,304.00"
06/18/2024,"3,307.42","3,314.16","3,299.15","3,301.78"
06/14/2024,"3,315.77","3,323.90","3,297.55","3,297.55"
06/13/2024,"3,326.14","3,329.78","3,320.03","3,324.53"
06/12/2024,"3,315.86","3,323.21","3,303.52","3,307.44"
06/11/2024,"3,329.10","3,332.60","3,303.24","3,309.21"
06/10/2024,"3,333.25","3,322.08","3,322.08","3,322.08"
06/07/2024,"3,338.48","3,347.95","3,328.79","3,330.77"
06/06/2024,"3,350.80","3,351.86","3,330.27","3,330.81"
06/05/2024,"3,340.62","3,350.18","3,328.19","3,330.01"
06/04/2024,"3,347.57","3,349.17","3,332.88","3,338.94"
06/03/2024,"3,347.22","3,355.63","3,340.12","3,348.87"
05/31/2024,"3,327.34","3,336.59","3,323.20","3,336.59"
05/30/2024,"3,310.54","3,326.65","3,307.54","3,323.38"
05/29/2024,"3,326.03","3,333.86","3,322.92","3,323.20"
05/28/2024,"3,321.02","3,335.61","3,320.20","3,330.09"
05/27/2024,"3,318.45","3,324.07","3,308.94","3,318.45"
05/24/2024,"3,297.98","3,320.14","3,297.98","3,316.56"
05/23/2024,"3,302.77","3,322.62","3,297.56","3,322.62"
05/21/2024,"3,311.96","3,314.30","3,293.93","3,307.90"
05/20/2024,"3,310.10","3,318.24","3,306.32","3,314.05"
05/17/2024,"3,309.77","3,313.48","3,292.13","3,313.48"
05/16/2024,"3,305.01","3,324.01","3,300.86","3,304.99"
05/15/2024,"3,289.42","3,309.42","3,285.45","3,289.42"
05/14/2024,"3,301.08","3,313.35","3,298.51","3,313.35"
05/13/2024,"3,287.87","3,303.66","3,281.36","3,303.66"
05/10/2024,"3,277.13","3,297.37","3,276.79","3,290.70"
05/09/2024,"3,251.70","3,267.97","3,241.13","3,265.95"
05/08/2024,"3,286.90","3,290.16","3,256.16","3,264.53"
05/07/2024,"3,307.65","3,312.77","3,296.12","3,300.04"
05/06/2024,"3,300.10","3,303.19","3,303.19","3,303.19"
05/03/2024,"3,310.13","3,312.47","3,289.76","3,292.93"
05/02/2024,"3,309.78","3,324.77","3,285.30","3,296.89"
04/30/2024,"3,283.08","3,298.03","3,269.20","3,292.69"
04/29/2024,"3,282.05","3,282.05","3,264.11","3,282.05"
04/26/2024,"3,283.41","3,297.80","3,271.58","3,280.10"
04/25/2024,"3,269.74","3,290.01","3,249.01","3,287.75"
04/24/2024,"3,295.29","3,308.12","3,282.60","3,293.13"
04/23/2024,"3,257.88","3,273.17","3,250.49","3,272.72"
04/22/2024,"3,184.06","3,238.59","3,176.56","3,225.17"
04/19/2024,"3,188.36","3,195.77","3,152.72","3,176.51"
04/18/2024,"3,164.78","3,187.66","3,187.66","3,187.66"
04/17/2024,"3,149.12","3,166.57","3,141.56","3,154.69"
04/16/2024,"3,170.71","3,179.81","3,136.44","3,144.76"
